ticker,company_name,fundamental_score,tier,quality,earnings_quality_score,growth_acceleration_score,relative_strength_score,financial_health_score,catalyst_timing_score,rs_line_score,rs_line_percentile,rs_line_at_new_high,rs_line_trend,eps_growth_yoy,eps_accelerating,eps_accel_quarters,rev_growth_yoy,rev_accelerating,rev_accel_quarters,earnings_details,growth_details,rs_details,health_details,catalyst_details,current_price,market_cap,sector,industry,short_percent_float,short_ratio,short_squeeze_potential,fifty_two_week_high,proximity_to_52w_high,trend_template_score,trend_template_pass,target_price_analyst,target_price_analyst_high,target_price_analyst_low,analyst_count,analyst_recommendation,analyst_upside_pct,target_price_dcf,target_price_dcf_upside_pct,target_price_pe,target_price_pe_upside_pct,fcf_yield_pct,fcf_per_share,dividend_yield_pct,payout_ratio_pct,dividend_rate,five_yr_avg_dividend_yield_pct,buyback_active,shares_change_pct,interest_coverage,analyst_revision_momentum,days_to_earnings,earnings_date,earnings_warning,earnings_catalyst,piotroski_score,piotroski_label,ebit_ev_yield,roic_greenblatt,peg_ratio,analyzed_at,market,value_score,fcf_bonus,dividend_bonus,buyback_bonus,revision_bonus,risk_reward_ratio,rr_bonus,eu_insider_bonus,market_regime
CRH.L,CRH PLC ORD EUR 0.32 (DI),66.7,⭐⭐ GOOD,🟡 Good,63.0,80.0,50.0,75.0,65.0,,,,,,False,0,39.4,False,0,"{'positive_quarters': 3, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 10.0}","{'revenue_growth_yoy': 39.4, 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': -6.0, 'rs_6m': -4.6}","{'roe_pct': 15.7, 'debt_to_equity': 0.77, 'current_ratio': 1.74, 'operating_margin_pct': 15.1}","{'days_to_earnings': 'N/A', 'recommendation': 'strong_buy', 'analyst_upside_pct': 25.5}",8286.0,55372595200,Basic Materials,Building Materials,,,False,9758.0,-15.1,4.0,False,10395.92,11516.47,7745.34,11.0,strong_buy,25.5,116.56,-98.6,124.2,-98.5,3.32,2.75,1.4,26.9,1.11,2.21,True,-2.13,6.9,48.4,21.0,2026-04-30,False,True,6.0,NEUTRAL,8.02,17.1,0.33,2026-04-08T11:00:57.316163,FTSE100,49.7,3.0,0.0,3.0,5.0,3.19,3.0,0.0,CONFIRMED_UPTREND
VNA.DE,Vonovia SE                    N,58.4,⭐ AVERAGE,🟡 Average,78.0,30.0,50.0,70.0,70.0,,,,,,True,1,-30.9,False,0,"{'positive_quarters': 3, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 55.7}","{'revenue_growth_yoy': -30.9, 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': -3.8, 'rs_6m': -11.6}","{'roe_pct': 13.6, 'debt_to_equity': 1.35, 'current_ratio': 1.02, 'operating_margin_pct': 26.6}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 44.7}",23.38,19832346624,Real Estate,Real Estate Services,,,False,30.69,-23.8,1.0,False,33.84,52.9,23.0,15.0,buy,44.7,60.08,157.0,32.3,38.2,17.47,4.08,5.58,37.8,1.25,4.29,False,,2.3,,29.0,2026-05-07,False,False,5.0,NEUTRAL,0.43,23.0,1.96,2026-04-08T10:59:49.327148,DAX40,49.4,8.0,8.0,0.0,0.0,5.59,3.0,0.0,CONFIRMED_UPTREND
FBK.MI,FINECOBANK,61.0,⭐⭐ GOOD,🟡 Good,60.0,50.0,64.0,75.0,65.0,,,,,,,0,,,0,{'profit_margin_pct': 49.4},{},"{'rs_3m': -4.7, 'rs_6m': 13.1}","{'roe_pct': 26.2, 'operating_margin_pct': 72.6}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 21.1}",20.43,12499466240,Financial Services,Banks - Regional,,,False,23.07,-11.4,5.0,False,24.73,28.5,20.7,16.0,buy,21.1,,,10.6,-48.1,,,4.08,69.8,0.79,3.38,,,,2.5,29.0,2026-05-07,False,False,3.0,NEUTRAL,,,6.9,2026-04-08T11:09:27.444071,FTSEMIB,49.4,0.0,8.0,0.0,1.0,2.64,1.0,0.0,CONFIRMED_UPTREND
BBVA.MC,BANCO BILBAO VIZCAYA ARGENTARIA,63.4,⭐⭐ GOOD,🟡 Good,65.0,50.0,74.5,70.0,60.0,,,,,-6.1,True,1,5.1,False,0,"{'eps_growth_yoy': -6.1, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 33.2}","{'revenue_growth_yoy': 5.1, 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': 4.8, 'rs_6m': 26.7}","{'roe_pct': 18.3, 'operating_margin_pct': 50.9}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 8.3}",19.505,109891272704,Financial Services,Banks - Diversified,,,False,22.33,-12.7,7.0,True,21.12,24.9,11.7,23.0,buy,8.3,,,17.6,-9.8,,,4.9,41.5,0.92,4.87,True,-1.41,,3.8,22.0,2026-04-30,False,False,4.0,NEUTRAL,,,1.64,2026-04-08T11:05:06.046332,IBEX35,49.4,0.0,8.0,3.0,1.0,1.04,0.0,0.0,CONFIRMED_UPTREND
SRT3.DE,SARTORIUS AG                  V,70.8,⭐⭐⭐ EXCELLENT,🟢 Excellent,100.0,70.0,50.0,45.0,65.0,,,,,109.9,True,1,2.3,True,2,"{'eps_growth_yoy': 109.9, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 4.4}","{'revenue_growth_yoy': 2.3, 'revenue_accelerating': True, 'rev_accel_quarters': 2}","{'rs_3m': -11.9, 'rs_6m': -0.5}","{'roe_pct': 5.9, 'debt_to_equity': 1.11, 'current_ratio': 0.9, 'operating_margin_pct': 18.2}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 19.0}",221.2,15274365952,Healthcare,Medical Instruments & Supplies,,,False,267.7,-17.4,3.0,False,263.21,307.0,190.0,19.0,buy,19.0,351.62,59.0,67.5,-69.5,1.89,8.29,0.35,33.0,0.74,0.31,False,,3.0,167.5,,,False,False,8.0,STRONG,2.65,20.8,0.14,2026-04-08T10:59:37.379389,DAX40,49.3,0.0,0.0,0.0,5.0,2.38,1.0,15.0,CONFIRMED_UPTREND
ITX.MC,INDUSTRIA DE DISE...O TEXTIL S.,70.5,⭐⭐⭐ EXCELLENT,🟢 Excellent,100.0,30.0,64.0,95.0,60.0,,,,,29.2,True,2,-12.5,False,0,"{'eps_growth_yoy': 29.2, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 2, 'profit_margin_pct': 15.6}","{'revenue_growth_yoy': -12.5, 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': -2.7, 'rs_6m': 12.8}","{'roe_pct': 31.0, 'debt_to_equity': 0.29, 'current_ratio': 1.54, 'operating_margin_pct': 18.0}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 10.8}",52.7,164148215808,Consumer Cyclical,Apparel Retail,,,False,58.28,-9.6,5.0,False,58.4,67.0,41.5,24.0,buy,10.8,38.63,-26.7,26.6,-49.5,3.25,1.72,1.28,56.5,0.65,2.07,,,23.2,13.3,56.0,2026-06-03,False,False,7.0,NEUTRAL,5.55,50.4,1.66,2026-04-08T11:05:13.911869,IBEX35,49.2,3.0,0.0,0.0,3.0,1.35,0.0,0.0,CONFIRMED_UPTREND
DSY.PA,DASSAULT SYSTEMES,66.2,⭐⭐ GOOD,🟡 Good,100.0,60.0,15.0,85.0,55.0,,,,,67.7,True,2,6.9,True,1,"{'eps_growth_yoy': 67.7, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 2, 'profit_margin_pct': 19.2}","{'revenue_growth_yoy': 6.9, 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': -21.2, 'rs_6m': -36.2}","{'roe_pct': 13.3, 'debt_to_equity': 0.36, 'current_ratio': 1.6, 'operating_margin_pct': 30.9}","{'days_to_earnings': 'N/A', 'recommendation': 'hold', 'analyst_upside_pct': 29.3}",17.985,23614210048,Technology,Software - Application,,,False,35.39,-49.2,0.0,False,23.25,36.82,15.0,20.0,hold,29.3,15.13,-15.9,9.0,-50.0,4.87,0.88,1.53,28.9,0.27,0.58,True,-0.49,9.1,2.7,15.0,2026-04-23,False,True,8.0,STRONG,6.81,42.9,1.87,2026-04-08T11:03:23.710706,CAC40,48.5,3.0,5.0,3.0,1.0,3.66,3.0,0.0,CONFIRMED_UPTREND
INGA.AS,ING GROEP N.V.,58.5,⭐ AVERAGE,🟡 Average,55.0,50.0,68.5,65.0,60.0,,,,,-3.0,False,0,2.9,False,0,"{'eps_growth_yoy': -3.0, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 34.0}","{'revenue_growth_yoy': 2.9, 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': 5.9, 'rs_6m': 18.0}","{'roe_pct': 15.8, 'operating_margin_pct': 62.8}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 10.4}",24.455,70332104704,Financial Services,Banks - Diversified,,,False,26.445,-7.5,7.0,True,27.01,32.2,19.79,19.0,buy,10.4,,,63.6,160.1,,,4.73,50.0,1.09,5.4,,,,2784.4,22.0,2026-04-30,False,False,2.0,WEAK,,,0.0,2026-04-08T11:06:24.788913,AEX25,48.4,0.0,8.0,0.0,5.0,1.3,0.0,0.0,CONFIRMED_UPTREND
SIE.DE,SIEMENS AG                    N,51.0,⭐ AVERAGE,🟡 Average,55.0,30.0,50.0,70.0,65.0,,,,,-9.7,True,1,-3.1,False,0,"{'eps_growth_yoy': -9.7, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 10.0}","{'revenue_growth_yoy': -3.1, 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': -2.8, 'rs_6m': -2.7}","{'roe_pct': 12.8, 'debt_to_equity': 0.78, 'current_ratio': 1.38, 'operating_margin_pct': 13.0}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 19.3}",228.55,174324989952,Industrials,Specialty Industrial Machinery,,,False,275.75,-17.1,4.0,False,272.68,335.0,220.0,23.0,buy,19.3,149.37,-34.6,100.5,-56.0,4.44,10.15,2.51,51.8,5.35,2.74,True,-1.51,7.7,-44.6,35.0,2026-05-13,False,False,6.0,NEUTRAL,5.89,40.9,,2026-04-08T10:57:30.162823,DAX40,48.4,3.0,5.0,3.0,-3.0,2.41,1.0,15.0,CONFIRMED_UPTREND
ROG.SW,ROCHE GS,62.0,⭐⭐ GOOD,🟡 Good,60.0,50.0,64.0,85.0,60.0,,,,,,,0,,,0,{'profit_margin_pct': 20.3},{},"{'rs_3m': -0.7, 'rs_6m': 14.1}","{'roe_pct': 37.3, 'debt_to_equity': 0.88, 'current_ratio': 1.38, 'operating_margin_pct': 30.0}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 13.2}",322.3,256427556864,Healthcare,Drug Manufacturers - General,,,False,374.9,-14.0,6.0,False,364.79,428.0,230.0,19.0,buy,13.2,678.84,110.6,,,4.3,16.01,0.03,60.5,9.8,3.29,,,,119.9,,,False,False,7.0,NEUTRAL,6.58,54.4,0.09,2026-04-08T11:07:40.786978,SMI20,47.8,3.0,0.0,0.0,5.0,1.65,0.0,0.0,CONFIRMED_UPTREND
CS.PA,AXA,56.6,⭐ AVERAGE,🟡 Average,55.0,50.0,60.5,70.0,50.0,,,,,,,0,,,0,{'profit_margin_pct': 10.3},{},"{'rs_3m': 6.1, 'rs_6m': 4.4}","{'roe_pct': 13.4, 'debt_to_equity': 1.14, 'current_ratio': 1.93, 'operating_margin_pct': 10.5}","{'days_to_earnings': 'N/A', 'recommendation': 'none', 'analyst_upside_pct': 12.1}",41.09,84455268352,Financial Services,Insurance - Diversified,,,False,43.61,-5.8,3.0,False,46.05,50.7,40.0,19.0,none,12.1,223.28,443.4,102.6,149.7,12.81,5.26,5.73,62.9,2.32,5.73,,,,29.9,114.0,2026-07-31,False,False,7.0,NEUTRAL,13.25,,0.15,2026-04-08T11:02:57.363631,CAC40,47.6,8.0,8.0,0.0,5.0,1.51,0.0,0.0,CONFIRMED_UPTREND
AKZA.AS,AKZO NOBEL,63.8,⭐⭐ GOOD,🟡 Good,100.0,30.0,50.0,65.0,65.0,,,,,2747.6,True,1,-9.4,False,0,"{'eps_growth_yoy': 2747.6, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 6.3}","{'revenue_growth_yoy': -9.4, 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': -7.3, 'rs_6m': -12.3}","{'roe_pct': 13.9, 'debt_to_equity': 1.01, 'current_ratio': 1.44, 'operating_margin_pct': 17.4}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 25.4}",51.44,8799796224,Basic Materials,Specialty Chemicals,,,False,62.74,-18.0,1.0,False,64.53,75.0,47.0,17.0,buy,25.4,168.39,227.4,111.0,115.8,7.72,3.97,4.04,53.5,1.98,2.92,False,,10.1,1934.5,14.0,2026-04-22,False,True,6.0,NEUTRAL,10.66,28.9,0.0,2026-04-08T11:06:47.916145,AEX25,47.5,6.0,8.0,0.0,5.0,3.18,3.0,0.0,CONFIRMED_UPTREND
MRL.MC,"MERLIN PROPERTIES SOCIMI, S.A.",76.0,⭐⭐⭐ EXCELLENT,🟢 Excellent,85.0,70.0,79.0,75.0,60.0,,,,,20.3,False,0,13.0,True,1,"{'eps_growth_yoy': 20.3, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 138.6}","{'revenue_growth_yoy': 13.0, 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': 20.4, 'rs_6m': 13.7}","{'roe_pct': 10.1, 'debt_to_equity': 0.63, 'current_ratio': 1.18, 'operating_margin_pct': 69.6}","{'days_to_earnings': 'N/A', 'recommendation': 'strong_buy', 'analyst_upside_pct': 14.0}",14.77,9150132224,Real Estate,REIT - Office,,,False,15.36,-3.8,7.0,True,16.84,20.85,13.9,19.0,strong_buy,14.0,17.59,19.1,42.0,184.4,2.81,0.41,2.89,30.0,0.42,6.13,,,5.7,116.3,35.0,2026-05-13,False,False,6.0,NEUTRAL,7.94,400.7,0.22,2026-04-08T11:06:02.455714,IBEX35,47.4,0.0,5.0,0.0,5.0,1.75,0.0,0.0,CONFIRMED_UPTREND
UCG.MI,UNICREDIT,57.5,⭐ AVERAGE,🟡 Average,75.0,30.0,56.0,65.0,65.0,,,,,8.5,False,0,-11.1,False,0,"{'eps_growth_yoy': 8.5, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 43.6}","{'revenue_growth_yoy': -11.1, 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': -0.4, 'rs_6m': 9.7}","{'roe_pct': 16.8, 'operating_margin_pct': 66.0}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 22.5}",67.29,100849049600,Financial Services,Banks - Regional,,,False,79.79,-15.7,6.0,False,82.42,95.0,67.0,16.0,buy,22.5,,,141.66,110.5,,,5.03,42.0,3.15,3.88,,,,14.3,29.0,2026-05-07,False,False,4.0,NEUTRAL,,,0.4,2026-04-08T11:08:52.843411,FTSEMIB,47.0,0.0,8.0,0.0,3.0,2.81,1.0,0.0,CONFIRMED_UPTREND
DTE.DE,DEUTSCHE TELEKOM AG           N,62.1,⭐⭐ GOOD,🟡 Good,45.0,70.0,74.5,65.0,65.0,,,,,-39.4,False,0,6.6,True,2,"{'eps_growth_yoy': -39.4, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 7.9}","{'revenue_growth_yoy': 6.6, 'revenue_accelerating': True, 'rev_accel_quarters': 2}","{'rs_3m': 17.0, 'rs_6m': 11.3}","{'roe_pct': 15.6, 'debt_to_equity': 1.59, 'current_ratio': 1.12, 'operating_margin_pct': 18.0}","{'days_to_earnings': 'N/A', 'recommendation': 'strong_buy', 'analyst_upside_pct': 23.5}",30.87,149349761024,Communication Services,Telecom Services,,,False,34.44,-10.4,4.0,False,38.14,44.0,33.0,18.0,strong_buy,23.5,45.59,47.7,19.7,-36.2,10.04,3.1,3.25,45.7,1.0,3.21,True,-1.34,4.0,-58.2,35.0,2026-05-13,False,False,6.0,NEUTRAL,8.19,30.1,,2026-04-08T10:58:03.000203,DAX40,46.8,8.0,8.0,3.0,-3.0,2.94,1.0,0.0,CONFIRMED_UPTREND
DB1.DE,DEUTSCHE BOERSE AG            N,65.3,⭐⭐ GOOD,🟡 Good,55.0,60.0,79.0,80.0,60.0,,,,,-3.8,False,0,4.3,True,1,"{'eps_growth_yoy': -3.8, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 27.0}","{'revenue_growth_yoy': 4.3, 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': 21.0, 'rs_6m': 11.3}","{'roe_pct': 18.2, 'debt_to_equity': 0.69, 'current_ratio': 1.01, 'operating_margin_pct': 37.0}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 10.4}",249.2,45671723008,Financial Services,Financial Data & Stock Exchanges,,,False,294.3,-15.3,3.0,False,275.0,311.0,235.0,13.0,buy,10.4,141.85,-43.1,108.8,-56.3,3.84,9.64,1.64,36.8,4.2,1.89,,,7.8,-2.0,19.0,2026-04-27,False,True,5.0,NEUTRAL,5.81,66.8,,2026-04-08T10:57:55.682953,DAX40,46.1,3.0,5.0,0.0,0.0,1.3,0.0,0.0,CONFIRMED_UPTREND
UNA.AS,UNILEVER PLC,55.2,⭐ AVERAGE,🟡 Average,55.0,50.0,50.0,65.0,65.0,,,,,,,0,,,0,{'profit_margin_pct': 18.7},{},"{'rs_3m': -3.5, 'rs_6m': -1.4}","{'roe_pct': 31.0, 'debt_to_equity': 1.61, 'current_ratio': 0.79, 'operating_margin_pct': 20.1}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 26.6}",49.19,107425349632,Consumer Defensive,Household & Personal Products,,,False,63.39,-22.4,3.0,False,62.27,67.7,52.0,8.0,buy,26.6,52.16,6.0,25.9,-47.3,5.84,2.87,4.15,78.7,1.99,3.53,,,,,111.0,2026-07-28,False,False,7.0,NEUTRAL,7.51,108.9,2.36,2026-04-08T11:06:21.053946,AEX25,46.1,6.0,0.0,0.0,0.0,3.32,3.0,0.0,CONFIRMED_UPTREND
NWG.L,NATWEST GROUP PLC ORD 107.69P,67.0,⭐⭐ GOOD,🟡 Good,85.0,50.0,64.0,65.0,65.0,,,,,10.1,False,0,7.8,False,0,"{'eps_growth_yoy': 10.1, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 36.5}","{'revenue_growth_yoy': 7.8, 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': -0.8, 'rs_6m': 12.2}","{'roe_pct': 14.2, 'operating_margin_pct': 47.1}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 19.9}",610.1,48626814976,Financial Services,Banks - Regional,,,False,705.4,-13.5,7.0,True,731.41,840.0,600.0,17.0,buy,19.9,,,8.78,-98.6,,,5.65,37.1,0.33,4.55,,,,13.1,23.0,2026-05-01,False,False,6.0,NEUTRAL,,,0.57,2026-04-08T11:01:50.051528,FTSE100,45.8,0.0,8.0,0.0,3.0,2.49,1.0,0.0,CONFIRMED_UPTREND
MONC.MI,MONCLER,62.1,⭐⭐ GOOD,🟡 Good,60.0,50.0,60.5,90.0,60.0,,,,,,,0,,,0,{'profit_margin_pct': 20.0},{},"{'rs_3m': 6.7, 'rs_6m': 9.3}","{'roe_pct': 16.9, 'debt_to_equity': 0.29, 'current_ratio': 2.42, 'operating_margin_pct': 35.7}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 11.7}",54.28,14742355968,Consumer Cyclical,Apparel Manufacturing,,,False,59.4,-8.6,4.0,False,60.64,70.0,49.0,25.0,buy,11.7,33.01,-39.2,23.1,-57.4,4.13,2.24,2.63,56.3,1.4,0.87,,,,2.0,105.0,2026-07-22,False,False,7.0,NEUTRAL,6.88,32.2,7.25,2026-04-08T11:09:47.323069,FTSEMIB,45.8,3.0,5.0,0.0,1.0,1.46,0.0,0.0,CONFIRMED_UPTREND
PRX.AS,PROSUS,55.5,⭐ AVERAGE,🟡 Average,60.0,50.0,30.0,80.0,70.0,,,,,,,0,,,0,{'profit_margin_pct': 196.4},{},"{'rs_3m': -15.7, 'rs_6m': -30.2}","{'roe_pct': 26.0, 'debt_to_equity': 0.32, 'current_ratio': 3.66, 'operating_margin_pct': 6.4}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 57.2}",42.59,92036759552,Consumer Cyclical,Internet Retail,,,False,63.94,-33.4,1.0,False,66.94,80.41,51.0,19.0,buy,57.2,22.98,-46.0,150.3,252.9,1.27,0.54,0.5,1.9,0.2,,,,,95.0,77.0,2026-06-24,False,False,6.0,NEUTRAL,15.66,80.9,0.12,2026-04-08T11:07:13.942875,AEX25,45.2,0.0,0.0,0.0,5.0,7.15,3.0,0.0,CONFIRMED_UPTREND
PUB.PA,PUBLICIS GROUPE SA,52.8,⭐ AVERAGE,🟡 Average,50.0,50.0,50.0,55.0,70.0,,,,,,,0,,,0,{'profit_margin_pct': 9.5},{},"{'rs_3m': -8.8, 'rs_6m': -7.8}","{'roe_pct': 15.5, 'debt_to_equity': 0.54, 'current_ratio': 0.97, 'operating_margin_pct': 13.9}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 42.3}",75.52,18793996288,Communication Services,Advertising Agencies,,,False,100.55,-24.9,2.0,False,107.43,130.0,90.0,14.0,buy,42.3,95.99,27.1,65.2,-13.7,8.62,6.52,4.97,55.2,3.6,3.68,,,,-6.6,99.0,2026-07-16,False,False,6.0,NEUTRAL,11.77,110.1,,2026-04-08T11:04:16.789924,CAC40,45.1,8.0,8.0,0.0,0.0,5.29,3.0,0.0,CONFIRMED_UPTREND
QIA.DE,Qiagen N.V.                   A,71.0,⭐⭐⭐ EXCELLENT,🟢 Excellent,85.0,70.0,50.0,80.0,60.0,,,,,18.8,False,0,11.8,True,1,"{'eps_growth_yoy': 18.8, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 20.3}","{'revenue_growth_yoy': 11.8, 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': -9.6, 'rs_6m': -9.7}","{'roe_pct': 11.6, 'debt_to_equity': 0.49, 'current_ratio': 3.9, 'operating_margin_pct': 27.4}","{'days_to_earnings': 'N/A', 'recommendation': 'none', 'analyst_upside_pct': 32.1}",35.48,7311532032,Healthcare,Diagnostics & Research,,,False,47.595,-25.5,0.0,False,46.86,53.0,41.0,7.0,none,32.1,39.26,10.7,38.76,9.2,3.52,1.25,0.64,12.9,0.22,,False,,15.7,10.9,28.0,2026-05-06,False,False,7.0,NEUTRAL,6.71,20.4,0.69,2026-04-08T10:59:29.625084,DAX40,44.4,3.0,0.0,0.0,3.0,4.01,3.0,0.0,CONFIRMED_UPTREND
DHL.DE,DEUTSCHE POST AG              N,58.6,⭐ AVERAGE,🟡 Average,65.0,50.0,74.5,45.0,50.0,,,,,-3.5,True,2,-2.7,True,2,"{'eps_growth_yoy': -3.5, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 2, 'profit_margin_pct': 4.2}","{'revenue_growth_yoy': -2.7, 'revenue_accelerating': True, 'rev_accel_quarters': 2}","{'rs_3m': 3.3, 'rs_6m': 22.6}","{'roe_pct': 15.8, 'debt_to_equity': 1.21, 'current_ratio': 0.98, 'operating_margin_pct': 5.2}","{'days_to_earnings': 'N/A', 'recommendation': 'hold', 'analyst_upside_pct': 1.7}",47.52,53186441216,Industrials,Integrated Freight & Logistics,,,False,51.72,-8.1,7.0,True,48.33,60.0,38.0,18.0,hold,1.7,64.96,36.7,30.4,-36.0,9.29,4.41,4.12,60.9,1.9,4.19,True,-2.53,6.9,-1.5,22.0,2026-04-30,False,False,7.0,NEUTRAL,8.59,20.0,,2026-04-08T10:58:59.645003,DAX40,44.4,8.0,8.0,3.0,0.0,0.21,-3.0,0.0,CONFIRMED_UPTREND
BATS.L,BRITISH AMERICAN TOBACCO PLC OR,60.4,⭐⭐ GOOD,🟡 Good,60.0,50.0,74.5,60.0,60.0,,,,,,,0,,,0,{'profit_margin_pct': 30.3},{},"{'rs_3m': 14.0, 'rs_6m': 15.8}","{'roe_pct': 15.8, 'debt_to_equity': 0.73, 'current_ratio': 0.87, 'operating_margin_pct': 34.6}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 4.4}",4393.0,95176646656,Consumer Defensive,Tobacco,,,False,4876.92,-9.9,6.0,False,4584.61,5200.0,3050.0,13.0,buy,4.4,20.33,-99.5,34.9,-99.2,3.15,1.38,5.56,68.8,2.45,7.57,,,,,113.0,2026-07-30,False,False,7.0,NEUTRAL,9.23,262.9,1.56,2026-04-08T11:01:13.556249,FTSE100,44.2,3.0,8.0,0.0,0.0,0.55,-3.0,0.0,CONFIRMED_UPTREND
GLE.PA,SOCIETE GENERALE,67.4,⭐⭐ GOOD,🟡 Good,100.0,30.0,74.5,60.0,60.0,,,,,36.5,True,1,-1.1,False,0,"{'eps_growth_yoy': 36.5, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 23.3}","{'revenue_growth_yoy': -1.1, 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': 5.1, 'rs_6m': 31.4}","{'roe_pct': 8.8, 'operating_margin_pct': 26.9}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 13.1}",70.83,51694022656,Financial Services,Banks - Regional,,,False,77.34,-8.4,7.0,True,80.09,96.0,46.0,19.0,buy,13.1,,,204.0,188.0,,,2.51,25.0,1.61,6.41,,,,34.4,22.0,2026-04-30,False,False,4.0,NEUTRAL,,,0.16,2026-04-08T11:03:45.544199,CAC40,44.0,0.0,5.0,0.0,5.0,1.64,0.0,0.0,CONFIRMED_UPTREND
GIVN.SW,GIVAUDAN N,57.5,⭐ AVERAGE,🟡 Average,55.0,50.0,50.0,80.0,65.0,,,,,,,0,,,0,{'profit_margin_pct': 14.3},{},"{'rs_3m': -4.8, 'rs_6m': -10.2}","{'roe_pct': 23.4, 'debt_to_equity': 0.97, 'current_ratio': 1.74, 'operating_margin_pct': 16.9}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 23.4}",2794.0,25786376192,Basic Materials,Specialty Chemicals,,,False,4236.0,-34.0,0.0,False,3446.87,4800.0,2875.0,19.0,buy,23.4,1802.78,-35.5,1154.2,-58.7,4.39,122.52,2.65,60.6,72.0,1.9,,,,-3.3,106.0,2026-07-23,False,False,7.0,NEUTRAL,4.95,34.8,,2026-04-08T11:08:03.362211,SMI20,44.0,3.0,5.0,0.0,0.0,2.92,1.0,0.0,CONFIRMED_UPTREND
