ticker,company_name,fundamental_score,tier,quality,earnings_quality_score,growth_acceleration_score,relative_strength_score,financial_health_score,catalyst_timing_score,rs_line_score,rs_line_percentile,rs_line_at_new_high,rs_line_trend,eps_growth_yoy,eps_accelerating,eps_accel_quarters,rev_growth_yoy,rev_accelerating,rev_accel_quarters,earnings_details,growth_details,rs_details,health_details,catalyst_details,current_price,market_cap,sector,industry,short_percent_float,short_ratio,short_squeeze_potential,fifty_two_week_high,proximity_to_52w_high,trend_template_score,trend_template_pass,target_price_analyst,target_price_analyst_high,target_price_analyst_low,analyst_count,analyst_recommendation,analyst_upside_pct,target_price_dcf,target_price_dcf_upside_pct,target_price_pe,target_price_pe_upside_pct,fcf_yield_pct,fcf_per_share,dividend_yield_pct,payout_ratio_pct,dividend_rate,five_yr_avg_dividend_yield_pct,buyback_active,shares_change_pct,interest_coverage,analyst_revision_momentum,days_to_earnings,earnings_date,earnings_warning,earnings_catalyst,piotroski_score,piotroski_label,ebit_ev_yield,roic_greenblatt,peg_ratio,analyzed_at,micro_cap_score,micro_cap_quality,ai_verdict,ai_confidence,ai_reasoning
MMLP,Martin Midstream Partners L.P.,47.6,⚠️ WEAK,🔴 Weak,50.0,40.0,46.7,55.0,50.0,35,31.6,False,up,,,0,-9.5,True,1,{'profit_margin_pct': -2.0},"{'revenue_growth_yoy': -9.5, 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': 8.8, 'rs_6m': -8.3, 'rs_line_percentile': 31.6, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 35}","{'current_ratio': 1.05, 'operating_margin_pct': 6.4}","{'days_to_earnings': 'N/A', 'recommendation': 'none', 'analyst_upside_pct': 6.0}",2.83,110525896,Energy,Oil & Gas Midstream,0.8,7.4,False,3.58,-20.9,2,False,3.0,3.0,3.0,1.0,none,6.0,12.63,346.3,,,30.32,0.86,0.71,18.2,0.02,0.72,False,,0.8,,20.0,2026-04-22,False,True,4,NEUTRAL,7.3,12.2,,2026-04-02T17:40:07.513413,46.6,MODERADA,,,
MMLP,Martin Midstream Partners L.P.,47.6,⚠️ WEAK,🔴 Weak,50.0,40.0,46.7,55.0,50.0,35,31.6,False,up,,,0,-9.5,True,1,{'profit_margin_pct': -2.0},"{'revenue_growth_yoy': -9.5, 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': 8.8, 'rs_6m': -8.3, 'rs_line_percentile': 31.6, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 35}","{'current_ratio': 1.05, 'operating_margin_pct': 6.4}","{'days_to_earnings': 'N/A', 'recommendation': 'none', 'analyst_upside_pct': 6.0}",2.83,110525896,Energy,Oil & Gas Midstream,0.8,7.4,False,3.58,-20.9,2,False,3.0,3.0,3.0,1.0,none,6.0,12.63,346.3,,,30.32,0.86,0.71,18.2,0.02,0.72,False,,0.8,,20.0,2026-04-22,False,True,4,NEUTRAL,7.3,12.2,,2026-04-02T17:41:04.324212,46.6,MODERADA,,,
SIGA,SIGA Technologies Inc.,49.0,⚠️ WEAK,🔴 Weak,60.0,40.0,24.0,75.0,50.0,15,7.2,False,down,,,0,-46.1,True,1,{'profit_margin_pct': 24.6},"{'revenue_growth_yoy': -46.1, 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': -13.4, 'rs_6m': -40.5, 'rs_line_percentile': 7.2, 'rs_line_at_new_high': False, 'rs_line_trend': 'down', 'rs_line_score': 15}","{'roe_pct': 11.2, 'debt_to_equity': 0.0, 'current_ratio': 11.83, 'operating_margin_pct': -250.4}","{'days_to_earnings': 'N/A', 'recommendation': 'none'}",5.19,371834432,Healthcare,Drug Manufacturers - Specialty & Generic,6.8,5.6,False,9.62,-46.0,0,False,,,,,none,,5.97,15.0,3.2,-38.3,7.82,0.41,,,,,False,,624.4,,35.0,2026-05-07,False,False,5,NEUTRAL,10.96,12.1,0.0,2026-04-02T17:38:22.738213,45.9,MODERADA,,,
EVGO,EVgo Inc.,55.8,⭐ AVERAGE,🟡 Average,50.0,90.0,15.0,55.0,70.0,15,0.6,False,down,,,0,57.4,True,1,{'profit_margin_pct': -10.8},"{'revenue_growth_yoy': 57.4, 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': -39.6, 'rs_6m': -63.1, 'rs_line_percentile': 0.6, 'rs_line_at_new_high': False, 'rs_line_trend': 'down', 'rs_line_score': 15}","{'roe_pct': -23.0, 'debt_to_equity': 0.81, 'current_ratio': 2.19, 'operating_margin_pct': -6.5}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 191.8}",1.735,544765312,Consumer Cyclical,Specialty Retail,27.6,8.6,True,5.18,-66.5,0,False,5.06,7.0,3.5,8.0,buy,191.8,,,,,-21.49,-0.83,,,,,False,,-15.4,,32.0,2026-05-05,False,False,5,NEUTRAL,-10.36,-13.0,,2026-04-02T17:42:36.491093,44.9,MODERADA,,,
WRAP,"Wrap Technologies, Inc.",52.0,⭐ AVERAGE,🟡 Average,50.0,80.0,15.0,60.0,50.0,15,14.1,False,down,,,0,83.5,False,0,{'profit_margin_pct': -221.2},"{'revenue_growth_yoy': 83.5, 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': -37.3, 'rs_6m': -42.0, 'rs_line_percentile': 14.1, 'rs_line_at_new_high': False, 'rs_line_trend': 'down', 'rs_line_score': 15}","{'roe_pct': -176.1, 'debt_to_equity': 0.21, 'current_ratio': 6.29, 'operating_margin_pct': -239.0}","{'days_to_earnings': 'N/A', 'recommendation': 'none'}",1.52,84360088,Technology,Scientific & Technical Instruments,19.9,24.9,True,3.23,-52.9,2,False,,,,,none,,,,,,-18.64,-0.28,,,,,False,,-111.6,,42.0,2026-05-14,False,False,4,NEUTRAL,-16.08,-113.3,,2026-04-02T17:37:08.803556,42.3,MODERADA,,,
CODA,"Coda Octopus Group, Inc.",55.8,⭐ AVERAGE,🟡 Average,55.0,30.0,75.0,75.0,55.0,60,53.8,False,up,,,0,-4.4,False,0,{'profit_margin_pct': 14.8},"{'revenue_growth_yoy': -4.4, 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': 29.7, 'rs_6m': 44.4, 'rs_line_percentile': 53.8, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 60}","{'roe_pct': 7.3, 'debt_to_equity': 0.01, 'current_ratio': 10.9, 'operating_margin_pct': 15.1}","{'days_to_earnings': 'N/A', 'recommendation': 'none', 'analyst_upside_pct': 16.9}",11.975,135031936,Industrials,Aerospace & Defense,2.7,0.6,False,17.28,-30.7,5,False,14.0,14.0,14.0,1.0,none,16.9,15.56,29.9,3.7,-69.1,3.2,0.38,,,,,False,,270.9,,73.0,2026-06-15,False,False,6,NEUTRAL,4.97,9.6,,2026-04-02T17:37:04.051519,41.2,MODERADA,,,
SWAG,"Stran & Company, Inc.",53.5,⭐ AVERAGE,🟡 Average,50.0,60.0,44.0,65.0,50.0,35,26.0,False,down,,,0,0.9,True,1,{'profit_margin_pct': -0.6},"{'revenue_growth_yoy': 0.9, 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': -2.7, 'rs_6m': -2.3, 'rs_line_percentile': 26.0, 'rs_line_at_new_high': False, 'rs_line_trend': 'down', 'rs_line_score': 35}","{'roe_pct': -2.4, 'debt_to_equity': 0.08, 'current_ratio': 2.34, 'operating_margin_pct': -0.1}","{'days_to_earnings': 'N/A', 'recommendation': 'none'}",1.6547,30926606,Communication Services,Advertising Agencies,0.8,1.9,False,3.5,-52.7,3,False,,,,,none,,,,,,-21.3,-0.35,,,,,True,-1.32,-16.7,,,,False,False,4,NEUTRAL,-9.07,-7.5,,2026-04-02T17:38:07.696096,34.1,DÉBIL,,,
LFMD,"LifeMD, Inc.",42.8,⚠️ WEAK,🔴 Weak,50.0,30.0,26.7,60.0,60.0,15,6.9,False,flat,,,0,-89.2,False,0,{'profit_margin_pct': 7.4},"{'revenue_growth_yoy': -89.2, 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': 4.5, 'rs_6m': -47.6, 'rs_line_percentile': 6.9, 'rs_line_at_new_high': False, 'rs_line_trend': 'flat', 'rs_line_score': 15}","{'roe_pct': -131.2, 'debt_to_equity': 0.27, 'current_ratio': 1.25, 'operating_margin_pct': -2.3}","{'days_to_earnings': 'N/A', 'recommendation': 'none', 'analyst_upside_pct': 181.3}",3.51,168956960,Healthcare,Health Information Services,15.7,5.2,True,15.84,-77.8,2,False,9.88,15.0,8.0,8.0,none,181.3,,,,,-6.01,-0.21,,,,,False,,-5.7,,34.0,2026-05-06,False,False,6,NEUTRAL,-6.25,-49.1,0.04,2026-04-02T17:41:52.021328,33.0,DÉBIL,,,
BBAI,"BigBear.ai, Inc.",41.2,⚠️ WEAK,🔴 Weak,50.0,30.0,15.0,65.0,60.0,15,8.0,False,down,,,0,-21.5,False,0,{'profit_margin_pct': -230.2},"{'revenue_growth_yoy': -21.5, 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': -35.5, 'rs_6m': -49.7, 'rs_line_percentile': 8.0, 'rs_line_at_new_high': False, 'rs_line_trend': 'down', 'rs_line_score': 15}","{'roe_pct': -96.7, 'debt_to_equity': 0.19, 'current_ratio': 1.78, 'operating_margin_pct': -76.7}","{'days_to_earnings': 'N/A', 'recommendation': 'none', 'analyst_upside_pct': 50.4}",3.545,1687620608,Technology,Information Technology Services,27.3,3.2,True,9.39,-62.2,1,False,5.33,6.0,5.0,3.0,none,50.4,,,,,-2.78,-0.1,,,,,False,,-16.4,,28.0,2026-04-30,False,False,4,NEUTRAL,-20.44,-193.6,,2026-04-02T17:36:08.271902,30.3,DÉBIL,,,
LPSN,"LivePerson, Inc.",39.8,⚠️ WEAK,🔴 Weak,50.0,30.0,15.0,55.0,60.0,15,0.7,False,down,,,0,-8.4,False,0,{'profit_margin_pct': -27.6},"{'revenue_growth_yoy': -8.4, 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': -29.6, 'rs_6m': -64.0, 'rs_line_percentile': 0.7, 'rs_line_at_new_high': False, 'rs_line_trend': 'down', 'rs_line_score': 15}","{'current_ratio': 1.12, 'operating_margin_pct': 5.8}","{'days_to_earnings': 'N/A', 'recommendation': 'none', 'analyst_upside_pct': 54.4}",2.59,31218830,Technology,Software - Application,11.7,11.2,True,21.6,-88.0,0,False,4.0,5.0,3.0,2.0,none,54.4,,,,,-111.99,-2.9,,,,,False,,-1.2,,34.0,2026-05-06,False,False,5,NEUTRAL,-10.54,-32.9,,2026-04-02T17:37:57.521237,24.9,DÉBIL,,,
